Days/Ticks, averageAnabolic, averageCatabolic, muscleMass 
1, 71.31159135635923, 68.45478334261591, 1656.7489778316735 
2, 69.37250696994742, 66.17703093189742, 1657.731310740893 
3, 67.92247461144915, 64.4708691794266, 1658.8528809217885 
4, 66.93672183693747, 63.694985830507115, 1659.8667184659755 
5, 66.64979925923801, 64.40599533719801, 1660.3418615351543 
6, 87.83727083372635, 80.65720307992918, 1662.1038762132657 
7, 87.43036142707307, 79.76920361869298, 1664.0758717524218 
8, 87.2660328858332, 79.50201592932142, 1666.1462174103303 
9, 87.30637208141654, 80.08882977242381, 1668.1011377117948 
10, 87.34705813245832, 82.09817865569995, 1669.4434542030158 
11, 104.46259079658871, 100.3240422311486, 1671.0687919575023 
12, 102.40471115525807, 100.89384993929995, 1672.5127315192124 
13, 100.11562080384769, 101.41450350152965, 1673.6541119487767 
14, 97.96576734329824, 101.99533992364923, 1674.3689984791993 
15, 96.05408909777493, 102.83236403411807, 1674.3785607415682 
16, 110.92056014436521, 115.7138641153103, 1674.9079746730333 
17, 108.12541407857802, 113.78052862083973, 1675.3807586477417 
18, 105.26900867654705, 111.88176501831552, 1675.7270283367789 
19, 102.58186222532136, 110.24778109246225, 1675.8491316568904 
20, 100.12264012982293, 109.41467010831029, 1675.4276274390545 
21, 114.64835974488817, 121.13044681271762, 1675.6278843156708 
22, 111.68501851698971, 118.68793118599785, 1675.8362394741214 
23, 108.66594379446681, 116.31781174192194, 1675.9734871792023 
24, 105.82545271318912, 114.26631619553228, 1675.9434339460115 
25, 103.20609219192895, 112.9123797123731, 1675.4994995999716 
26, 118.50463034917404, 124.92435819913256, 1675.7638846522486 
27, 115.38680365089441, 122.1925701472493, 1676.0676099685343 
28, 112.21485797276304, 119.53472832152548, 1676.3416817616487 
29, 109.19588367948893, 117.16385455855446, 1676.501899813013 
30, 106.3707209543541, 115.37195256120944, 1676.3662256655973 
31, 120.62879757488766, 126.5865309234989, 1676.780349920056 
32, 117.38069504438604, 123.79510205280654, 1677.1897192996219 
33, 114.12981609016555, 121.12219762330847, 1677.514382933248 
34, 111.05233379253933, 118.72709741918125, 1677.6802408616388 
35, 108.17690945883199, 116.92025822122899, 1677.5631980020107 
36, 121.29840459601832, 127.26324592035922, 1677.9268228415333 
37, 118.07284684304409, 124.5040891076171, 1678.2746556382713 
38, 114.82085788494696, 121.8515683823038, 1678.5340324450626 
39, 111.73276487370548, 119.54642624830146, 1678.6090673862782 
40, 108.88484906988762, 117.77249602625592, 1678.406402461295 
41, 123.43996509882614, 129.10725351342114, 1678.8090819028614 
42, 120.0994959683292, 126.13327109038028, 1679.234603793389 
